departamento,municipio,codigo_dane,sustancia,fecha,dosis_g
BOLÍVAR,Cartagena (CT),13001000,MARIHUANA,01/01/2010,28.0
RISARALDA,La Virginia,66400000,BASUCO,01/01/2010,2.0
ATLÁNTICO,Barranquilla (CT),08001000,BASE DE COCA,01/01/2010,32.5
CUNDINAMARCA,Girardot,25307000,MARIHUANA,01/01/2010,7.0
GUAINÍA,Inírida (CT),94001000,MARIHUANA,01/01/2010,3.0
MAGDALENA,Santa Marta (CT),47001000,MARIHUANA,01/01/2010,14.0
NARIÑO,Nariño,52480000,MARIHUANA,01/01/2010,20.0
NARIÑO,Tangua,52788000,BASUCO,01/01/2010,5.0
CAUCA,Popayán (CT),19001000,MARIHUANA,01/01/2010,200.0
CAUCA,Popayán (CT),19001000,MARIHUANA,01/01/2010,475.0
CUNDINAMARCA,Bogotá D.C. (CT),11001000,COCAINA,01/01/2010,613.2
CUNDINAMARCA,Bogotá D.C. (CT),11001000,BASE DE COCA,01/01/2010,5.0
CUNDINAMARCA,Bogotá D.C. (CT),11001000,MARIHUANA,01/01/2010,80.0
CUNDINAMARCA,Bogotá D.C. (CT),11001000,MARIHUANA,01/01/2010,20.0
BOLÍVAR,Cartagena (CT),13001000,BASUCO,01/01/2010,40.0
NARIÑO,El Peñol,52254000,BASE DE COCA,01/01/2010,10.0
CUNDINAMARCA,Girardot,25307000,BASUCO,01/01/2010,6.0
CUNDINAMARCA,Bogotá D.C. (CT),11001000,BASUCO,01/01/2010,20.0
CAQUETÁ,Puerto Rico,18592000,MARIHUANA,01/01/2010,114.0
SANTANDER,Barrancabermeja,68081000,MARIHUANA,01/01/2010,10.0
BOLÍVAR,Cartagena (CT),13001000,BASUCO,01/01/2010,16.5
RISARALDA,Dosquebradas,66170000,COCAINA,01/01/2010,2.0
ANTIOQUIA,Medellín (CT),05001000,BASUCO,01/01/2010,70.0
CESAR,Valledupar (CT),20001000,BASUCO,01/01/2010,7.0
ANTIOQUIA,Medellín (CT),05001000,MARIHUANA,01/01/2010,500.0
HUILA,Neiva (CT),41001000,MARIHUANA,01/01/2010,500.0
ANTIOQUIA,Ciudad Bolívar,05101005,MARIHUANA,01/01/2010,6.0
ANTIOQUIA,Concordia,05209000,BASUCO,01/01/2010,0.6
VALLE,Cali (CT),76001000,MARIHUANA,01/01/2010,20.0
VALLE,Cali (CT),76001000,MARIHUANA,01/01/2010,16.0
VALLE,Cali (CT),76001000,BASUCO,01/01/2010,19.0
AMAZONAS,Leticia (CT),91001001,COCAINA,01/01/2010,8825.0
ATLÁNTICO,Barranquilla (CT),08001000,COCAINA,01/01/2010,13.0
VALLE,Cali (CT),76001000,MARIHUANA,01/01/2010,105.0
VALLE,Yumbo,76892000,MARIHUANA,01/01/2010,70.0
VALLE,Cali (CT),76001000,BASUCO,01/01/2010,7.0
VALLE,Cali (CT),76001000,BASUCO,01/01/2010,8.0
CUNDINAMARCA,Soacha,25754000,BASUCO,01/01/2010,33.4
NARIÑO,Taminango,52786000,MARIHUANA,01/01/2010,20.0
VALLE,Calima,76126000,MARIHUANA,01/01/2010,15.0
NARIÑO,Policarpa,52540000,MARIHUANA,01/01/2010,30.0
BOYACÁ,Tunja (CT),15001000,BASUCO,01/01/2010,1.3
CAUCA,Popayán (CT),19001000,MARIHUANA,01/01/2010,200.0
META,Villavicencio (CT),50001000,MARIHUANA,01/01/2010,7.0
VALLE,Cali (CT),76001000,MARIHUANA,01/01/2010,30.0
VALLE,Cali (CT),76001000,BASUCO,01/01/2010,5.0
RISARALDA,Dosquebradas,66170000,COCAINA,01/01/2010,2.0
ANTIOQUIA,La Unión,05400000,MARIHUANA,01/01/2010,35.0
RISARALDA,La Virginia,66400000,BASUCO,01/01/2010,2.0
ANTIOQUIA,Medellín (CT),05001000,BASUCO,01/01/2010,30.0
NARIÑO,Pasto (CT),52001000,BASUCO,01/01/2010,2.0
VALLE,Calima,76126000,BASUCO,01/01/2010,4.0
ANTIOQUIA,Medellín (CT),05001000,MARIHUANA,01/01/2010,250.0
CUNDINAMARCA,Soacha,25754000,BASUCO,01/01/2010,15.6
ATLÁNTICO,Barranquilla (CT),08001000,MARIHUANA,01/01/2010,45.0
NARIÑO,Sandoná,52683000,MARIHUANA,01/01/2010,50.0
NARIÑO,La Florida,52381000,MARIHUANA,01/01/2010,40.0
